A.A.,Ref.*,B C . 1,B C . 2,B C . 3,B C . 4,B C . 5,B C . 6,B C . 7,B C . 8,B C . 9,B C . 1 0,BC.11,B C . 1 2
His,15,1.85±0.04b,0.51±0.01f,2.00±0.04b,2.45±0.05b,2.21±0.05c,2.52±0.05b,2.28±0.05b,0.75±0.02f,2.50±0.05b,2.69±0.06a,2.28±0.05b,2.52±0.05b
Ile,30,1.60±0.00c,1.04±0.00e,1.56±0.00c,2.14±0.00c,1.42±0.00d,1.11±0.00g,1.68±0.00c,1.89±0.00d,1.63±0.00d,1.30±0.00d,1.63±0.00c,1.42±0.00de
Leu,59,1.66±0.03c,1.82±0.03b,1.45±0.03d,2.10±0.04c,2.82±0.05b,1.64±0.03d,1.72±0.03c,2.30±0.04b,1.63±0.03d,1.37±0.03cd,1.71±0.03c,1.46±0.03d
Lys,45,0.71±0.01f,0.57±0.01f,1.25±0.01e,1.08±0.01f,0.51±0.00g,4.37±0.04a,1.01±0.01e,0.56±0.01g,1.26±0.01f,1.31±0.01d,3.07±0.03a,1.01±0.01g
Met + Cys,22,1.15±0.03e,1.66±0.05c,1.48±0.04cd,0.61±0.02g,1.43±0.04d,0.99±0.03h,0.77±0.02f,1.94±0.06d,0.89±0.03g,0.95±0.03e,0.99±0.03e,0.27±0.01h
Phe + Tyr,38,2.99±0.02a,3.13±0.01a,2.96±0.01a,3.83±0.02a,3.45±0.02a,2.39±0.02c,3.04±0.01a,3.46±0.02a,3.13±0.01a,2.65±0.01a,3.11±0.01a,2.79±0.01a
Thr,23,1.33±0.03d,1.85±0.05b,0.99±0.02f,1.60±0.04d,0.93±0.02e,1.32±0.03f,0.97±0.02e,2.26±0.06b,1.47±0.04e,1.32±0.03d,1.28±0.03d,1.27±0.03f
Try,6,1.40±0.05d,1.41±0.05d,0.99±0.03f,1.44±0.05e,0.65±0.02f,0.73±0.02ı,1.15±0.04d,1.67±0.06e,1.40±0.05e,1.61±0.05b,1.33±0.05d,1.35±0.05ef
Val,39,1.68±0.05c,1.47±0.04d,1.56±0.04c,2.18±0.06c,1.49±0.04d,1.52±0.04e,1.69±0.05c,2.09±0.06c,1.80±0.05c,1.45±0.04c,1.63±0.05c,1.59±0.05c
Digestibilit,,,,,,,,,,,,,
,,87.9±5.9ab,91.4±6.2a,85.2±5.8abc,87.6±5.9ab,64.8±4.4d,85.8±5.8ab,95.0±6.4a,95.4±6.4a,69.1±4.7cd,90.1±6.1a,62.6±4.2d,71.9±4.9bcd
y ( %),,,,,,,,,,,,,
,,,,,,,,,,,,,
PDCAAS,,0.63±0.01c,0.47±0.01e,0.84±0.02a,0.53±0.02d,0.33±0.00f,0.63±0.02c,0.73±0.02b,0.53±0.00d,0.62±0.02c,0.86±0.02a,0.62±0.02c,0.19±0.01g
